                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2006,                 2.1673,                 1.3811,                0.88139,                 0.7014,                0.91252,                0.60303,                 1.0812,                 1.4558,                  1.301,             0.00036732,             0.00036732,             0.00036732
                      2,                 1.0965,                 1.0812,                 1.3036,                0.84439,                0.86487,                0.91224,                0.62379,                 1.0702,                 1.0221,                 1.3088,             0.00072305,             0.00072305,             0.00072305
                      3,                 1.1193,                  1.021,                 1.2983,                0.89491,                0.91693,                0.95096,                0.69524,                0.95807,                0.93111,                 1.2737,              0.0010641,              0.0010641,              0.0010641
                      4,                 1.0537,                0.90338,                 1.2547,                0.90302,                0.80973,                0.94838,                0.67542,                 1.0858,                0.99993,                 1.3631,               0.001045,               0.001045,               0.001045
                      5,                 1.0374,                0.85077,                 1.2512,                0.93686,                0.91197,                0.97042,                0.72034,                0.95711,                0.66143,                 1.2207,               0.001045,               0.001045,               0.001045
                      6,                0.97602,                 0.7805,                 1.2007,                0.97748,                0.95253,                0.98575,                0.75434,                0.86234,                0.59731,                 1.1174,               0.001023,               0.001023,               0.001023
                      7,                0.94252,                0.73132,                 1.1877,                0.95238,                0.93881,                0.96111,                0.76738,                0.83237,                 0.5657,                 1.1302,               0.001001,               0.001001,               0.001001
                      8,                0.93574,                0.69905,                 1.1805,                0.95216,                0.93764,                0.98282,                0.79399,                0.80511,                0.52023,                 1.0965,             0.00097901,             0.00097901,             0.00097901
                      9,                0.89164,                0.65495,                 1.1535,                0.96323,                0.95771,                0.98772,                0.77546,                0.79121,                0.53445,                 1.0802,             0.00095702,             0.00095702,             0.00095702
                     10,                0.89527,                0.65596,                 1.1539,                0.95067,                0.95107,                0.98305,                0.79603,                0.76414,                0.54098,                 1.1005,             0.00093502,             0.00093502,             0.00093502
                     11,                0.86476,                0.63246,                 1.1317,                0.96949,                 0.9726,                0.98786,                0.80886,                0.73046,                0.45292,                 1.0333,             0.00091302,             0.00091302,             0.00091302
                     12,                0.83767,                0.59367,                  1.124,                0.97124,                0.97581,                0.99003,                0.80184,                 0.7234,                0.47436,                 1.0385,             0.00089102,             0.00089102,             0.00089102
                     13,                0.84007,                 0.5884,                 1.1189,                0.96072,                0.98244,                0.98858,                 0.8048,                0.75448,                0.49249,                 1.0745,             0.00086902,             0.00086902,             0.00086902
                     14,                0.80834,                0.57136,                 1.1036,                0.96816,                0.96774,                0.98752,                0.81391,                0.74466,                 0.4588,                 1.0614,             0.00084703,             0.00084703,             0.00084703
                     15,                0.78828,                0.55195,                 1.0898,                0.98631,                0.97379,                0.98925,                0.82023,                0.70459,                0.43283,                 1.0033,             0.00082503,             0.00082503,             0.00082503
                     16,                0.79592,                 0.5431,                 1.0827,                0.98214,                0.97493,                0.99021,                0.82298,                0.70367,                0.41523,                 1.0088,             0.00080303,             0.00080303,             0.00080303
                     17,                0.76316,                0.51979,                 1.0726,                0.95971,                0.98734,                0.99045,                0.83218,                0.67436,                0.43671,                0.99104,             0.00078103,             0.00078103,             0.00078103
                     18,                0.75106,                0.52271,                 1.0699,                0.96817,                 0.9865,                0.98992,                0.83883,                0.65934,                0.39209,                0.97892,             0.00075904,             0.00075904,             0.00075904
                     19,                0.75042,                0.50944,                 1.0595,                0.98556,                0.97191,                0.99133,                 0.8525,                0.64843,                0.38305,                0.97552,             0.00073704,             0.00073704,             0.00073704
                     20,                 0.7367,                0.49322,                 1.0564,                0.98383,                0.98123,                0.99188,                0.83442,                0.68226,                0.39033,                 1.0004,             0.00071504,             0.00071504,             0.00071504
                     21,                0.72427,                0.47838,                 1.0503,                0.98001,                 0.9838,                0.99149,                0.85448,                0.64648,                0.37244,                0.96121,             0.00069304,             0.00069304,             0.00069304
